hrtf_type,dataset,name_gui,name_short,url,url_alternative,gdrive_url_high,flip_polarity,ash_version_reference,local_version,subject,attribution,license,comments,name_gui_original,name_short_original,default,id
Dummy Head / Head & Torso Simulator,SADIE,Neumann KU 100 (SADIE),SADIE-KU-100,https://sofacoustics.org/data/database/sadie/D1_48K_24bit_256tap_FIR_SOFA.sofa,https://drive.google.com/file/d/1R3omya7u3a1zgQqMDb3lWFJvzh0pDgLR/view?usp=drive_link,,no,3.1.0,1.0.0,N/A,"C. Armstrong, L. Thresh, and G. Kearney, ""A Perceptual Evaluation of Individual and Non-Individual HRTFs: A Case Study of the SADIE II Database,” Appl. Sci., vol. 8, no. 11, 2018, doi: 10.3390/app8112029. Data from SADIE II HRTF Database, The Audio Lab, Department of Electronic Engineering, University of York, UK. [Online]. Available: https://www.york.ac.uk/sadie-project/database.html","Copyright 2018, University of York. Licensed under the Apache License, Version 2.0 (Apache-2.0). Use of the SADIE II HRTF Database is permitted under this license for research, academic, and educational purposes. The original dataset must be referenced whenever used, and any modifications must also cite the dataset. Commercial use is subject to compliance with the Apache-2.0 license.",,Neumann KU 100 (SADIE),KU-100-SADIE,,1
Dummy Head / Head & Torso Simulator,SADIE,KEMAR (SADIE),SADIE-KEMAR,https://sofacoustics.org/data/database/sadie/D2_48K_24bit_256tap_FIR_SOFA.sofa,https://drive.google.com/file/d/1NZnP5g2RAaFcoLC7X2pVkk0WyvXrIg7O/view?usp=drive_link,,no,3.1.0,1.0.0,N/A,"C. Armstrong, L. Thresh, and G. Kearney, ""A Perceptual Evaluation of Individual and Non-Individual HRTFs: A Case Study of the SADIE II Database,” Appl. Sci., vol. 8, no. 11, 2018, doi: 10.3390/app8112029. Data from SADIE II HRTF Database, The Audio Lab, Department of Electronic Engineering, University of York, UK. [Online]. Available: https://www.york.ac.uk/sadie-project/database.html","Copyright 2018, University of York. Licensed under the Apache License, Version 2.0 (Apache-2.0). Use of the SADIE II HRTF Database is permitted under this license for research, academic, and educational purposes. The original dataset must be referenced whenever used, and any modifications must also cite the dataset. Commercial use is subject to compliance with the Apache-2.0 license.",,KEMAR (SADIE),KEMAR-SADIE,,2
Dummy Head / Head & Torso Simulator,THK,Neumann KU 100 (TH Koln),THK-KU-100,https://sofacoustics.org/data/database/thk/KU100.sofa,https://drive.google.com/file/d/1AF4S0E2zzsYaP9oe2IlvdTSGOscYahkH/view?usp=drive_link,,no,3.1.0,1.0.0,N/A,"Benjamin Bernschütz (2020) ‘Spherical Far-Field HRIR Compilation of the Neumann KU100’. 39th DAGA (AIA-DAGA), Zenodo. doi: 10.5281/zenodo.3928297.",Creative Commons Attribution 3.0 Unported,,Neumann KU 100 (TH Koln),KU-100-THK,,3
Dummy Head / Head & Torso Simulator,THK,Neumann KU 100 Near-Field (TH Koln),THK-NF-KU-100,https://sofacoustics.org/data/database/thk/HRIR_L2702_NF150.sofa,https://drive.google.com/file/d/1PEhOh8UtRnkKk5CyUlw821_RHd4IIYuK/view?usp=drive_link,,no,4.0.0,1.0.0,N/A,"J. M. Arend, A. Neidhardtand C. Pörschmann, ‘Spherical Near-Field (NF) HRIR Compilation of the Neumann KU100’, presented at the 29th Tonmeistertagung - VDT International Convention, Cologne, Germany, Jul. 2020. doi: 10.5281/zenodo.4297951.",Creative Commons Attribution 4.0 International,,,,,4
Dummy Head / Head & Torso Simulator,THK,HMSII,THK-HMSII,https://sofacoustics.org/data/database/thk/HMSII.sofa,https://drive.google.com/file/d/1hgFNYXb57KGhkv91nLSQJw-sP18d-eLc/view?usp=drive_link,,yes,3.1.0,1.0.1,HMSII,"C. Pörschmann, J. M. Arendand R. Gillioz, ‘Spherical Headgear HRIR Compilation of the Neumann KU100 and the Head acoustics HMS II.3’. Zenodo, Jul. 02, 2020. doi: 10.5281/zenodo.3928465.",Creative Commons Attribution 4.0 International,20250402: updated with corrected sample rate,,,,5
Dummy Head / Head & Torso Simulator,TU-BERLIN,qu_kemar,TU-qu_kemar,https://sofacoustics.org/data/database/tu-berlin/qu_kemar_anechoic_1m.sofa,https://drive.google.com/file/d/1W_6d16F2r0ymxNRMA5LImwFKwhDqiV7A/view?usp=drive_link,,no,3.1.0,1.0.0,qu_kemar,"H. Wierstorf, M. Geier, A. Raakeand S. Spors, ‘A Free Database of Head-Related Impulse Response Measurements in the Horizontal Plane with Multiple Distances’. Zenodo, Jun. 13, 2016. doi: 10.5281/zenodo.55418.",Creative Commons Attribution Non Commercial Share Alike 4.0 International,,,,,6
Dummy Head / Head & Torso Simulator,TU-BERLIN,FABIAN,TU-FABIAN,https://sofacoustics.org/data/database/tu-berlin/FABIAN_HRIR_measured_HATO_0.sofa,https://drive.google.com/file/d/1vWIGpSoH5VR5B2BLbmr-xTTTwfuDEm4R/view?usp=drive_link,,no,3.1.0,1.0.0,FABIAN,"Brinkmann, Fabian & Lindau, Alexander & Weinzierl, Stefan & Geissler, Gunnar & Par, Steven & Müller-Trapet, Markus & Opdam, Rob & Vorlaender, Michael. (2017). The FABIAN head-related transfer function data base. 10.14279/depositonce-5718. ",Creative Commons Attribution 4.0 International,,FABIAN HATS,FABIAN,,7
Dummy Head / Head & Torso Simulator,B&K-4128,B&K Type 4128,B&K-4128,N/A - preprocessed and provided as NPY dataset,,https://drive.google.com/file/d/1VBUChZ-8amjIIbjAGRBSxjTuVDyug-iK/view?usp=drive_link,no,3.1.0,1.0.0,N/A,"Ahrens, A. (2018). Binaural Impulse Responses with and without HTC Vive HMD [Data set]. Zenodo. https://doi.org/10.5281/zenodo.1185335",Creative Commons Attribution 4.0 International,,B&K Type 4128,B&K-4128,,8
Dummy Head / Head & Torso Simulator,MMHR,B&K Type 4128C (MMHR-HRIR),MMHR-B&K-4128C,N/A - preprocessed and provided as NPY dataset,,https://drive.google.com/file/d/1c09ZMCInjHSsckzdyWgj-eqJvhuQb3mV/view?usp=drive_link,no,3.1.0,1.0.0,N/A,"J. Thiemann and S. van de Par, ‘A multiple model high-resolution head-related impulse response database for aided and unaided ears (SOFA format)’, EURASIP Journal on Advances in Signal Processing, vol. 2019, no. 9. Zenodo, May 11, 2020. doi: 10.5281/zenodo.3767044.",Creative Commons Attribution 4.0 International,"Extracted from SOFA with correct coordinates, provided as npy",B&K Type 4128C (MMHR-HRIR),B&K-4128C-MMHR,Yes,9
Dummy Head / Head & Torso Simulator,MMHR,DADEC (MMHR-HRIR),MMHR-DADEC,N/A - preprocessed and provided as NPY dataset,,https://drive.google.com/file/d/1go1NbU19x76Pm330sx1NffenLgtZxVWw/view?usp=drive_link,no,3.1.0,1.0.0,N/A,"J. Thiemann and S. van de Par, ‘A multiple model high-resolution head-related impulse response database for aided and unaided ears (SOFA format)’, EURASIP Journal on Advances in Signal Processing, vol. 2019, no. 9. Zenodo, May 11, 2020. doi: 10.5281/zenodo.3767044.",Creative Commons Attribution 4.0 International,"Extracted from SOFA with correct coordinates, provided as npy",DADEC (MMHR-HRIR),DADEC-MMHR,,10
