file_name,name_gui,name_short,name_src,est_rt60,meas_rt60,fade_start,low_rt60,folder,version,gdrive_link,alternative_link,ghub_link,gain,f_crossover,order_crossover,noise_reduce,source_hrtf_dataset,source_hrtf_id,description,notes,source_dataset,citation,citation_link,high_fc,mid_fc,low_fc
reverberation_dataset_atrium_a,Atrium A,Atrium-A,atrium_a,2800,2894,0,No,est_bin,1.0.5,https://drive.google.com/file/d/1WQiyW4H8a8ruVMxQ_MrrjYW88PbfIi7U/view?usp=drive_link,https://drive.google.com/file/d/1kqzTQRRd0GOCj1JTZCKe7Fq_JhNnLCAO/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_atrium_a.npy,-2.3,110,9,No,max,1,Derived from multiple measurement locations including stairs and hallways,Derived from stairway and hallway measurements,Spatial Room Impulse Response Dataset: A Robot's Journey Through Coupled Rooms of a Reverberant University Building,"G. Stolz, G. Götz, L. Treybig, S. Wernerand F. Klein, ‘Spatial Room Impulse Response Dataset: A Robot's Journey Through Coupled Rooms of a Reverberant University Building’. Zenodo, Oct. 24, 2024. doi: 10.5281/zenodo.13987509. ",https://doi.org/10.5281/zenodo.13987509 ,Yes,No,No
reverberation_dataset_atrium_b,Atrium B,Atrium-B,atrium_b,1200,1282,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1yKlMQMg_mTk2zr0Pt4snQBrQb0ZDdbvy/view?usp=drive_link,https://drive.google.com/file/d/1YpwPm9_Dq8xXyMqRZIvSIGJF5Fgl2wCg/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_atrium_b.npy,-2.1,100,9,No,max,1,"Spring Lane Building, University of York",,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_audio_lab_a,Audio Lab A,Audio-Lab-A,audio_lab_a,350,305,320,Yes,est_bin,1.0.3,https://drive.google.com/file/d/13tl2g1x0SZtfr9J6GGZNkwZuQ5vmdFVe/view?usp=drive_link,https://drive.google.com/file/d/1psYX1T3ydZrXGr_8sMEVt6ZnOqilnfAz/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_audio_lab_a.npy,-3.3,120,9,No,max,0,"Audio Lab of the Institute of Communications Engineering, University of Rostock ",Multiple absorber configurations used,Database of single-channel and binaural room impulse responses (RIRs and BRIRs) of a 64-channel loudspeaker array for dierent room congurations ,"V. Erbes, M. Geier, S. Weinzierl, and S. Spors, ""Single-channel and binaural room impulse responses of a 64-channel loudspeaker array for different room conﬁgurations"". depositonce, 21-Apr-2015",http://dx.doi.org/10.14279/depositonce-87,No,Yes,No
reverberation_dataset_audio_lab_b,Audio Lab B,Audio-Lab-B,audio_lab_b,400,413,700,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1oM7jSHROP_QiSrJ4aEcSdcLdTge474jU/view?usp=drive_link,https://drive.google.com/file/d/1fD6yDRAi6ElaJ0Dl53-QBEm_VbdRIPLd/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_audio_lab_b.npy,-2.1,110,10,No,max,0,"Audio Lab of the Institute of Communications Engineering, University of Rostock ",Multiple absorber configurations used,Database of single-channel and binaural room impulse responses (RIRs and BRIRs) of a 64-channel loudspeaker array for dierent room congurations ,"V. Erbes, M. Geier, S. Weinzierl, and S. Spors, ""Single-channel and binaural room impulse responses of a 64-channel loudspeaker array for different room conﬁgurations"". depositonce, 21-Apr-2015",http://dx.doi.org/10.14279/depositonce-87,No,No,No
reverberation_dataset_audio_lab_c,Audio Lab C,Audio-Lab-C,audio_lab_c,600,508,530,Yes,est_bin,1.0.3,https://drive.google.com/file/d/1Hql4TBGXieLFcagJD_U9V1hRWGLsEY_n/view?usp=drive_link,https://drive.google.com/file/d/1fBMc7Td1pgPmHFiuBnyLC1ubtZcnEPXz/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_audio_lab_c.npy,-1.8,120,9,No,max,0,Room with varying furniture,,Motus: A dataset of higher-order Ambisonic room impulse responses and 3D models measured in a room with varying furniture,"G. Götz, S. J. Schlechtand V. Pulkki, ‘Motus: A dataset of higher-order Ambisonic room impulse responses and 3D models measured in a room with varying furniture’. Zenodo, Jun. 10, 2021. doi: 10.5281/zenodo.4923187.",https://doi.org/10.5281/zenodo.4923187 ,Yes,No,No
reverberation_dataset_audio_lab_d,Audio Lab D,Audio-Lab-D,audio_lab_d,250,193,400,Yes,est_bin,1.0.3,https://drive.google.com/file/d/1HdNkkBdM3h-OQDR3C4F2aJFM1zkgYMWb/view?usp=drive_link,https://drive.google.com/file/d/1MFr2FETxRARHwXxmcMzPL5GVYPaNJEQb/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_audio_lab_d.npy,0,130,8,No,max,0,Cuboid room with varying wall acoustic profiles,,The dEchorate dataset,"D. Di Carlo, P. Tandeitnik, C. Foy, N. Bertin, A. Deleforgeand S. Gannot, ‘The dEchorate dataset’. Zenodo, Mar. 22, 2021. doi: 10.5281/zenodo.5562386.",https://doi.org/10.5281/zenodo.4626590 ,No,No,No
reverberation_dataset_audio_lab_e,Audio Lab E,Audio-Lab-E,audio_lab_e,500,442,410,Yes,est_bin,1.0.3,https://drive.google.com/file/d/1QuPXYRjcjZahwUO3KqJ9g6481FTpTSgd/view?usp=drive_link,https://drive.google.com/file/d/1MpTfLERi59w109tiHlWL5_699-HA4v1b/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_audio_lab_e.npy,-2.6,120,9,No,max,0,Alamire Interactive Laboratory (AIL),,MYRiAD: A Multi-Array Room Acoustic Database,"T. Dietzen, R. Ali, M. Taseskaand T. van Waterschoot, ‘Data Repository for MYRiAD: A Multi-Array Room Acoustic Database’. Zenodo, Nov. 17, 2022. doi: 10.5281/zenodo.7389996.",,No,No,No
reverberation_dataset_audio_lab_f,Audio Lab F,Audio-Lab-F,audio_lab_f,700,631,800,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1eXuiUzRrmx2D5f7sIGebezd8n6Gm27kS/view?usp=drive_link,https://drive.google.com/file/d/1hCkZBKmgDBcNILpjm0wLn9pjgtmSzh-I/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_audio_lab_f.npy,-2.3,120,9,No,max,0,Room with varying wall acoustic profiles,,RWCP Real Environment Speech and Acoustic Database (RWCP-SSD).,"Real World Computing Partnership (2007): RWCP Real Environment Speech and Acoustic Database (RWCP-SSD). Speech Resources Consortium, National Institute of Informatics. (dataset). https://doi.org/10.32130/src.RWCP-SSD",https://doi.org/10.32130/src.RWCP-SSD,No,No,No
reverberation_dataset_audio_lab_g,Audio Lab G,Audio-Lab-G,audio_lab_g,400,360,450,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1CYYdIG_uYrQS2A4nxC3inMOKUHQ_U8xh/view?usp=drive_link,https://drive.google.com/file/d/16hvUKlUAeCmmHOQ36EjxWKaJs1OsFryk/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_audio_lab_g.npy,-1.6,100,9,No,max,0,"Arni variable acoustics room at the Acoustics Lab, Aalto University, Espoo, Finland",,Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis,"Thomas McKenzie, Leo McCormackand Christoph Hold, ‘Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis’. Zenodo, Mar. 24, 2022. doi: 10.5281/zenodo.6382405.",,No,No,No
reverberation_dataset_audio_lab_h,Audio Lab H,Audio-Lab-H,audio_lab_h,600,528,700,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1HFtLuL7IQIA1rrBlqrC3eIKfbNGNQRVR/view?usp=drive_link,https://drive.google.com/file/d/1KatLDWCKJr9KFoJJFgnRkCBaSNO7ttV3/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_audio_lab_h.npy,-1.6,100,9,No,max,0,"Arni variable acoustics room at the Acoustics Lab, Aalto University, Espoo, Finland",,Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis,"Thomas McKenzie, Leo McCormackand Christoph Hold, ‘Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis’. Zenodo, Mar. 24, 2022. doi: 10.5281/zenodo.6382405.",,No,No,No
reverberation_dataset_audio_lab_i,Audio Lab I,Audio-Lab-I,audio_lab_i,600,539,700,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1-z8F8EHe4ZOdKYyytpbSjlbPFRJscFHK/view?usp=drive_link,https://drive.google.com/file/d/19weXlT-vSFAj1nnJd4M1a3YPWHl69yKJ/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_audio_lab_i.npy,-1.5,100,9,No,max,0,"Arni variable acoustics room at the Acoustics Lab, Aalto University, Espoo, Finland",,Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis,"Thomas McKenzie, Leo McCormackand Christoph Hold, ‘Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis’. Zenodo, Mar. 24, 2022. doi: 10.5281/zenodo.6382405.",,No,No,No
reverberation_dataset_auditorium_a,Auditorium A,Auditorium-A,auditorium_a,1500,1455,0,Yes,comp_bin,1.0.1,https://drive.google.com/file/d/1yg3g4LVFCZpbXLiviWtwlnByByhdC4ZJ/view?usp=drive_link,https://drive.google.com/file/d/1Z6pKK3DITFx-ikNULB52RP2MPX1FNMIu/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/comp_bin/reverberation_dataset_auditorium_a.npy,-2.8,130,8,No,max,0,School room from the EduRa database,,EduRa database,"Karin Loh, Julian Burger, Lukas Aspöckand Janina Fels, ‘EduRa database: room models based on room acoustic measurements in primary and preschools’. Zenodo, Aug. 02, 2021. doi: 10.5281/zenodo.5747086.",https://doi.org/10.5281/zenodo.5747086,Yes,No,No
reverberation_dataset_auditorium_b,Auditorium B,Auditorium-B,auditorium_b,900,901,0,Yes,comp_bin,1.0.0,https://drive.google.com/file/d/1RssVdDB3vfuHLy4tPKJY0U3TlNxi31xZ/view?usp=drive_link,https://drive.google.com/file/d/1jzZdj_-T9Byqn1YRm0VKk3aTq14If7Ft/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/comp_bin/reverberation_dataset_auditorium_b.npy,-3.1,130,9,No,max,0,Small lecture hall,,Dataset of Measured Binaural Room Transfer Functions of Individuals ,"S. Werner and M. Böhme, ‘Dataset of Measured Binaural Room Transfer Functions of Individuals’. Zenodo, Aug. 29, 2016. doi: 10.5281/zenodo.61083.",https://doi.org/10.5281/zenodo.61083,No,No,No
reverberation_dataset_auditorium_c,Auditorium C,Auditorium-C,auditorium_c,400,418,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1obvlAeRTrLHnch1sJHMBwLAhUPhhkqls/view?usp=drive_link,https://drive.google.com/file/d/1hZrhJlVfSm4H5lZUYpkUGcXssuUfDgY0/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_auditorium_c.npy,-3.1,100,9,Yes,max,1,Arthur sykes rymer auditorium university york,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_auditorium_d,Auditorium D,Auditorium-D,auditorium_d,1300,1246,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1fOJe-aJr6E6PP2ByL4LV_v97b-oqsaSV/view?usp=drive_link,https://drive.google.com/file/d/18ueg3g2HfKUbeIqbyJqs5Qp7Hnq_yX2s/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_auditorium_d.npy,-2.1,90,9,No,max,1,Auditorium 21 at the Technical University of Denmark (DTU),,ODEON Impulse response downloads,Attributed to https://odeon.dk/downloads/impulse-responses/#gsc.tab=0,https://odeon.dk/downloads/impulse-responses/#gsc.tab=0,No,No,No
reverberation_dataset_broadcast_studio_a,Broadcast Studio A,Bc-Studio-A,broadcast_studio_a,1400,1183,1200,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1K9vqKuneJFbgJRGXDs1lqQx1uHtK84bU/view?usp=drive_link,https://drive.google.com/file/d/1APQFXUpCmUqhv_F4RIQoyiB17_rGoKUj/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_broadcast_studio_a.npy,-2.8,100,9,No,max,0,WDR Broadcast Studios,Derived from rooms SBS and LBS,A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios,"Stade, Bernschützand Rühl, ‘A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios’. Zenodo, May 11, 2020. doi: 10.5281/zenodo.3930833.",,No,No,No
reverberation_dataset_broadcast_studio_b,Broadcast Studio B,Bc-Studio-B,broadcast_studio_b,1250,1241,1200,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1Kg2jPItoaB5D-Yg8OQLVprqvTtjQcw68/view?usp=drive_link,https://drive.google.com/file/d/1DtMXMtnoKiAag5P8-w9uXZNiTIUhyk-Z/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_broadcast_studio_b.npy,-2.8,100,9,No,max,1,WDR Broadcast Studios,Derived from rooms SBS and LBS,A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios,"Stade, Bernschützand Rühl, ‘A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios’. Zenodo, May 11, 2020. doi: 10.5281/zenodo.3930833.",,No,No,No
reverberation_dataset_chamber_a,Chamber A,Chamber-A,chamber_a,1400,1408,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1U0uH7dOHFVCsYSrUqZZNE7dLFm0uZnQW/view?usp=drive_link,https://drive.google.com/file/d/1gUHhH7tkZzApSQTI2cuK1Q95M6QhL-5-/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_chamber_a.npy,-2.1,100,9,No,max,1,Tyndall Bruce Monument,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_chamber_b,Chamber B,Chamber-B,chamber_b,800,780,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1FUlp7Hn-UUx45xw6VNldtkq4hhDrkhnE/view?usp=drive_link,https://drive.google.com/file/d/1KGrnloX6At-t6IhZ30lI2DX09iaYtbx2/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_chamber_b.npy,-2.1,90,9,No,max,1,York Guildhall Council Chamber,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
