id,file_name,label,name_gui,short_code,name_short,collection_1,collection_2,collection_3,meas_rt60,fade_start,low_rt60,f_crossover,order_crossover,version,folder,gdrive_link,alternative_link,ghub_link,description,notes,source_dataset,citation,citation_link,name_short_original,name_src_original
AS-001,AS-001,"Audio Lab, University of Rostock","Audio Lab, University of Rostock - AS-001",Audio-Lab,Audio-Lab-AS-001,Research Datasets,Low Reverberation,,305,320,Yes,120,9,1.0.3,datasets,,,,"Audio Lab of the Institute of Communications Engineering, University of Rostock ",Multiple absorber configurations used,Database of single-channel and binaural room impulse responses (RIRs and BRIRs) of a 64-channel loudspeaker array for dierent room congurations ,"V. Erbes, M. Geier, S. Weinzierl, and S. Spors, ""Single-channel and binaural room impulse responses of a 64-channel loudspeaker array for different room conﬁgurations"". depositonce, 21-Apr-2015",http://dx.doi.org/10.14279/depositonce-87,Audio-Lab-A,audio_lab_a
AS-002,AS-002,"Audio Lab, University of Rostock","Audio Lab, University of Rostock - AS-002",Audio-Lab,Audio-Lab-AS-002,Research Datasets,Low Reverberation,,413,700,Yes,110,10,1.0.5,datasets,,,,"Audio Lab of the Institute of Communications Engineering, University of Rostock ",Multiple absorber configurations used,Database of single-channel and binaural room impulse responses (RIRs and BRIRs) of a 64-channel loudspeaker array for dierent room congurations ,"V. Erbes, M. Geier, S. Weinzierl, and S. Spors, ""Single-channel and binaural room impulse responses of a 64-channel loudspeaker array for different room conﬁgurations"". depositonce, 21-Apr-2015",http://dx.doi.org/10.14279/depositonce-87,Audio-Lab-B,audio_lab_b
AS-003,AS-003,University Building,University Building - AS-003,Uni,Uni-AS-001,Research Datasets,,,2894,0,No,110,9,1.0.5,datasets,,,,Derived from multiple measurement locations including stairways and hallways,Derived from stairway and hallway measurements,Spatial Room Impulse Response Dataset: A Robot's Journey Through Coupled Rooms of a Reverberant University Building,"G. Stolz, G. Götz, L. Treybig, S. Wernerand F. Klein, ‘Spatial Room Impulse Response Dataset: A Robot's Journey Through Coupled Rooms of a Reverberant University Building’. Zenodo, Oct. 24, 2024. doi: 10.5281/zenodo.13987509. ",https://doi.org/10.5281/zenodo.13987509 ,Atrium-A,atrium_a
AS-004,AS-004,"Atrium, openAIR","Atrium, openAIR - AS-004",Atrium,Atrium-AS-004,openAIR Library,,,1282,0,Yes,100,9,1.0.5,datasets,,,,"Spring Lane Building, University of York",,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,Atrium-B,atrium_b
AS-005,AS-005,"Acoustics Lab, Motus","Acoustics Lab, Motus - AS-005",Ac-Lab,Ac-Lab-AS-005,Research Datasets,Low Reverberation,,508,530,Yes,120,9,1.0.3,datasets,,,,Room with varying furniture,,Motus: A dataset of higher-order Ambisonic room impulse responses and 3D models measured in a room with varying furniture,"G. Götz, S. J. Schlechtand V. Pulkki, ‘Motus: A dataset of higher-order Ambisonic room impulse responses and 3D models measured in a room with varying furniture’. Zenodo, Jun. 10, 2021. doi: 10.5281/zenodo.4923187.",https://doi.org/10.5281/zenodo.4923187 ,Audio-Lab-C,audio_lab_c
AS-006,AS-006,"Acoustics Lab, dEchorate","Acoustics Lab, dEchorate - AS-006",Ac-Lab,Ac-Lab-AS-006,Research Datasets,Low Reverberation,,193,400,Yes,130,8,1.0.3,datasets,,,,Cuboid room with varying wall acoustic profiles,,The dEchorate dataset,"D. Di Carlo, P. Tandeitnik, C. Foy, N. Bertin, A. Deleforgeand S. Gannot, ‘The dEchorate dataset’. Zenodo, Mar. 22, 2021. doi: 10.5281/zenodo.5562386.",https://doi.org/10.5281/zenodo.4626590 ,Audio-Lab-D,audio_lab_d
AS-007,AS-007,"Acoustics Lab, MYRiAD","Acoustics Lab, MYRiAD - AS-007",Ac-Lab,Ac-Lab-AS-007,Research Datasets,Low Reverberation,,442,410,Yes,120,9,1.0.3,datasets,,,,Alamire Interactive Laboratory (AIL),,MYRiAD: A Multi-Array Room Acoustic Database,"T. Dietzen, R. Ali, M. Taseskaand T. van Waterschoot, ‘Data Repository for MYRiAD: A Multi-Array Room Acoustic Database’. Zenodo, Nov. 17, 2022. doi: 10.5281/zenodo.7389996.",,Audio-Lab-E,audio_lab_e
AS-008,AS-008,"Acoustics Lab, RWCP","Acoustics Lab, RWCP - AS-008",Ac-Lab,Ac-Lab-AS-008,Research Datasets,,,631,800,Yes,120,9,1.0.5,datasets,,,,Room with varying wall acoustic profiles,,RWCP Real Environment Speech and Acoustic Database (RWCP-SSD).,"Real World Computing Partnership (2007): RWCP Real Environment Speech and Acoustic Database (RWCP-SSD). Speech Resources Consortium, National Institute of Informatics. (dataset). https://doi.org/10.32130/src.RWCP-SSD",https://doi.org/10.32130/src.RWCP-SSD,Audio-Lab-F,audio_lab_f
AS-009,AS-009,"Acoustics Lab, Aalto University","Acoustics Lab, Aalto University - AS-009",Ac-Lab,Ac-Lab-AS-009,Research Datasets,Low Reverberation,,360,450,Yes,100,9,1.0.5,datasets,,,,"Arni variable acoustics room at the Acoustics Lab, Aalto University, Espoo, Finland - 100% Absorbers",,Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis,"Thomas McKenzie, Leo McCormackand Christoph Hold, ‘Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis’. Zenodo, Mar. 24, 2022. doi: 10.5281/zenodo.6382405.",,Audio-Lab-G,audio_lab_g
AS-010,AS-010,"Acoustics Lab, Aalto University","Acoustics Lab, Aalto University - AS-010",Ac-Lab,Ac-Lab-AS-010,Research Datasets,Low Reverberation,,528,700,Yes,100,9,1.0.5,datasets,,,,"Arni variable acoustics room at the Acoustics Lab, Aalto University, Espoo, Finland - 50% Absorbers",,Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis,"Thomas McKenzie, Leo McCormackand Christoph Hold, ‘Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis’. Zenodo, Mar. 24, 2022. doi: 10.5281/zenodo.6382405.",,Audio-Lab-H,audio_lab_h
