"azimuth","fl","fr","c","sl","sr","rl","rr"
"-175",,,,,,,
"-170",,,,,,,
"-165",,,,,,"yes",
"-160",,,,,,,
"-155",,,,,,,
"-150",,,,"yes",,"yes",
"-145",,,,,,,
"-140",,,,,,,
"-135",,,,"yes",,"yes",
"-130",,,,,,,
"-125",,,,,,,
"-120",,,,"yes",,"yes",
"-115",,,,,,,
"-110",,,,,,,
"-105",,,,"yes",,"yes",
"-100",,,,,,,
"-95",,,,,,,
"-90","yes",,,"yes",,"yes",
"-85",,,,,,,
"-80",,,,,,,
"-75","yes",,,"yes",,,
"-70",,,,,,,
"-65",,,,,,,
"-60","yes",,,"yes",,,
"-55",,,,,,,
"-50",,,,,,,
"-45","yes",,,,,,
"-40","yes",,,,,,
"-35","yes",,,,,,
"-30","yes",,,,,,
"-25","yes",,,,,,
"-20","yes",,,,,,
"-15","yes",,,,,,
"-10",,,,,,,
"-5",,,"yes",,,,
"0","yes","yes","yes",,,,
"5",,,"yes",,,,
"10",,,,,,,
"15",,"yes",,,,,
"20",,"yes",,,,,
"25",,"yes",,,,,
"30",,"yes",,,,,
"35",,"yes",,,,,
"40",,"yes",,,,,
"45",,"yes",,,,,
"50",,,,,,,
"55",,,,,,,
"60",,"yes",,,"yes",,
"65",,,,,,,
"70",,,,,,,
"75",,"yes",,,"yes",,
"80",,,,,,,
"85",,,,,,,
"90",,"yes",,,"yes",,"yes"
"95",,,,,,,
"100",,,,,,,
"105",,,,,"yes",,"yes"
"110",,,,,,,
"115",,,,,,,
"120",,,,,"yes",,"yes"
"125",,,,,,,
"130",,,,,,,
"135",,,,,"yes",,"yes"
"140",,,,,,,
"145",,,,,,,
"150",,,,,"yes",,"yes"
"155",,,,,,,
"160",,,,,,,
"165",,,,,,,"yes"
"170",,,,,,,
"175",,,,,,,
"180",,,,,,"yes","yes"
