"hrtf_type","dataset","subject","name_gui","name_short","url","url_alternative","gdrive_url_max","gdrive_url_high","flip_polarity","highest_res","limited_res","ash_version_reference","local_version","gain","flip_azimuths_fb","flip_polarity_original","name_gui_original","name_short_original","default","description","hrtf_index","hrtf_index_max","npy_included_high","npy_included_max"
"Dummy Head / Head & Torso Simulator","SADIE","N/A","Neumann KU 100 (SADIE)","SADIE-KU-100","N/A",,,"https://drive.google.com/file/d/1DSsfSRA50q5AeL6aRdRNhbkayLQB3tp4/view?usp=drive_link","no","high","no","3.1.0","1.0.0","-3.2","no","no","Neumann KU 100 (SADIE)","KU-100-SADIE",,,"0",,"yes",
"Dummy Head / Head & Torso Simulator","THK","N/A","Neumann KU 100 (TH Koln)","THK-KU-100","N/A",,"https://drive.google.com/file/d/1GpLS5FbainIJwKJfRMPvmhhO_W4TXOdI/view?usp=drive_link","https://drive.google.com/file/d/1iJU4MmDNNahVWKHhWfSyQK9KImXTfpGF/view?usp=drive_link","no","max","no","3.1.0","1.0.0","-3.2","no","no","Neumann KU 100 (TH Koln)","KU-100-THK",,,"1","0","yes","no"
"Dummy Head / Head & Torso Simulator","TU-BERLIN","FABIAN","FABIAN","TU-FABIAN","https://sofacoustics.org/data/database/tu-berlin/FABIAN_HRIR_measured_HATO_0.sofa",,"https://drive.google.com/file/d/1Po4TH6T4JPYSElyneYfOndcAGx399aKU/view?usp=drive_link","https://drive.google.com/file/d/1-ZawesfxErG_GinnT95en7hBeS-kw_V3/view?usp=drive_link","no","max","no","3.1.0","1.0.0","-1.4","no","no","FABIAN HATS","FABIAN",,,"5","1","yes","no"
"Dummy Head / Head & Torso Simulator","B&K-4128","N/A","B&K Type 4128","B&K-4128","N/A",,,"https://drive.google.com/file/d/1VBUChZ-8amjIIbjAGRBSxjTuVDyug-iK/view?usp=drive_link","no","high","yes","3.1.0","1.0.0","0","no","yes","B&K Type 4128","B&K-4128",,,"3",,"yes",
"Dummy Head / Head & Torso Simulator","MMHR","N/A","B&K Type 4128C (MMHR-HRIR)","MMHR-B&K-4128C","N/A",,,"https://drive.google.com/file/d/1c09ZMCInjHSsckzdyWgj-eqJvhuQb3mV/view?usp=drive_link","no","high","no","3.1.0","1.0.0","-0.9","no","no","B&K Type 4128C (MMHR-HRIR)","B&K-4128C-MMHR","Yes",,"4",,"yes",
"Dummy Head / Head & Torso Simulator","MMHR","N/A","DADEC (MMHR-HRIR)","MMHR-DADEC","N/A",,,"https://drive.google.com/file/d/1go1NbU19x76Pm330sx1NffenLgtZxVWw/view?usp=drive_link","no","high","no","3.1.0","1.0.0","0","no","yes","DADEC (MMHR-HRIR)","DADEC-MMHR",,,"5",,"yes",
"Dummy Head / Head & Torso Simulator","MMHR","N/A","HEAD acoustics HMSII.2 (MMHR-HRIR)","MMHR-HMSII.2","N/A",,,"https://drive.google.com/file/d/1CiDOggoaG2FDWGVQzDm4Tbj12hbWVpI7/view?usp=drive_link","no","high","no","3.1.0","1.0.0","-3.4","no","no","HEAD acoustics HMSII.2 (MMHR-HRIR)","HMSII.2-MMHR",,,"6",,"yes",
"Dummy Head / Head & Torso Simulator","MMHR","N/A","KEMAR (MMHR-HRIR)","MMHR-KEMAR","N/A",,,"https://drive.google.com/file/d/1R-a4n-B6sS1HJaHmQXTsGKwAHZhu1l0o/view?usp=drive_link","no","high","no","3.1.0","1.0.0","-0.5","no","no","KEMAR (MMHR-HRIR)","KEMAR-MMHR",,,"7",,"yes",
"Dummy Head / Head & Torso Simulator","MIT","N/A","KEMAR-N (MIT)","MIT-KEMAR-N","N/A",,,"https://drive.google.com/file/d/1T_r7Jr1KurfJRjLY3NUMaMoLl62nMUAq/view?usp=drive_link","no","high","no","3.1.0","1.0.0","-5.1","no","no","KEMAR-N (MIT)","KEMAR-N-MIT",,,"8",,"yes",
"Dummy Head / Head & Torso Simulator","MIT","N/A","KEMAR-L (MIT)","MIT-KEMAR-L","N/A",,,"https://drive.google.com/file/d/1R9x1P41FwmWwiVHecZ2gPC_wnew1i7HP/view?usp=drive_link","no","high","no","3.1.0","1.0.0","-5.8","no","no","KEMAR-L (MIT)","KEMAR-L-MIT",,,"9",,"yes",
"Dummy Head / Head & Torso Simulator","SADIE","N/A","KEMAR (SADIE)","SADIE-KEMAR","N/A",,,"https://drive.google.com/file/d/1w4SYkuln5zy5fEzz5AWKax8OVUDQ4rtY/view?usp=drive_link","no","high","no","3.1.0","1.0.0","-2.9","no","no","KEMAR (SADIE)","KEMAR-SADIE",,,"10",,"yes",
"Dummy Head / Head & Torso Simulator","PKU-IOA","N/A","KEMAR-N (PKU-IOA)","PKU-KEMAR-N","N/A",,,"https://drive.google.com/file/d/13Vx9yYTwL1MrUj7udXgiV72DhNNxURqu/view?usp=drive_link","no","high","no","3.1.0","1.0.0","-1.6","no","no","KEMAR-N (PKU-IOA)","KEMAR-N-PKU",,,"11",,"yes",
"Dummy Head / Head & Torso Simulator","PKU-IOA","N/A","KEMAR-L (PKU-IOA)","PKU-KEMAR-L","N/A",,,"https://drive.google.com/file/d/1xTxB7pQMH3iAE4bFimOcRvj03JgHsKdB/view?usp=drive_link","no","high","no","3.1.0","1.0.0","-1","no","no","KEMAR-L (PKU-IOA)","KEMAR-L-PKU",,,"12",,"yes",
